fight_id,pred_delta_live,p_steam_live,pred_qclose_live,p_mkt_live,event_id,event_date,year,fold,movement_spec,f1_name,f2_name,division,selected_side,selected_fighter,selected_odds,selected_p_market,selected_ev,selected_steam_prob,pred_clv_pp,realized_clv_pp,pred_qclose_fav,qfav_opening,qfav_closing,prob_fav_steams,pred_delta_fav,selected_won,unit_return,kelly_raw,result,movement_alpha,direction_C,sel_fav_live,ev_live,steam_sel_live,clv_live,qual_live,qual_ship
63,0.04842268230150478,0.5955457972354802,0.6181927075214267,0.6239210805544663,6,2026-06-20,2026,2026,MOV_MKT_STATS,hyder amil,christian rodriguez,Featherweight,favorite,christian rodriguez,1.58824,0.6397370001170821,0.0160558930659546,0.6754553909778482,2.61773848507636,7.844582673571243,0.6328773333431761,0.6066999484924125,0.6851457752281249,0.6754553909778482,0.1111190437475151,1,0.5882400000000001,0.0272947998537241,0,100,0.01,True,-0.009063583020174404,0.5955457972354802,1.1492759029014255,False,False
64,0.1682600465630204,0.7725698081891824,0.8270578065209507,0.8647439701862706,6,2026-06-20,2026,2026,MOV_MKT_STATS,melsik baghdasaryan,murtazali magomedov,Featherweight,favorite,murtazali magomedov,1.2,0.867890460007973,0.0414685520095674,0.7843736664648139,2.799912927892667,0.6363387938259302,0.8296520218409101,0.8016528925619835,0.8080162805002428,0.7843736664648139,0.1865059386405645,1,0.1999999999999999,0.2073427600478373,0,100,0.01,True,0.037692764223524744,0.7725698081891824,2.540491395896727,True,True
62,0.06820966843725264,0.6573639227937453,0.7893459766593626,0.8189774810399593,6,2026-06-20,2026,2026,MOV_MKT_STATS,ion cutelaba,navajo stirling,Light Heavyweight,favorite,navajo stirling,1.28571,0.8210710056345015,0.0556592026543349,0.6721172602172344,1.3297573153779108,1.645664583136508,0.7910779435327916,0.7777803703790125,0.7942370162103776,0.6721172602172344,0.0786572854299151,1,0.2857099999999999,0.1948101314421441,0,100,0.01,True,0.052967537147885935,0.6573639227937453,1.1565606280350083,False,False
66,-0.005502485434407565,0.5695711463634391,0.8173618330761099,0.85296670319697,6,2026-06-20,2026,2026,MOV_MKT_STATS,andre lima,kevin borjas,Flyweight,favorite,andre lima,1.2222222222222223,0.8688602352880733,0.061940287574312,0.6688557276675691,1.227024882366856,-0.0997174671763301,0.8304520670054867,0.8181818181818181,0.8171846435100548,0.6688557276675691,0.0847571374133229,0,-1.0,0.278731294084404,0,100,0.01,True,0.042514859462963406,0.5695711463634391,-0.0819985105708243,False,False
67,-0.09427437171567911,0.3636060924307674,0.6683330896298314,0.6785437386869999,6,2026-06-20,2026,2026,MOV_MKT_STATS,allan nascimento,mitch raposo,Flyweight,favorite,allan nascimento,1.4,0.689028723537699,-0.0353597870472215,0.4407456234475225,-1.1126406926940002,-20.32376747608536,0.6777624819619489,0.6888888888888889,0.4856512141280353,0.4407456234475225,-0.0514218771814349,0,-1.0,0.0,0,100,0.01,False,-0.0034855899296997173,0.6363939075692326,2.0555799259057483,False,False
69,0.04637269203245464,0.581259849645082,0.7032700824500092,0.7177724389695842,6,2026-06-20,2026,2026,MOV_MKT_STATS,leon shahbazyan,levan chokheli,Welterweight,favorite,levan chokheli,1.39216,0.7109367152445706,-0.0102623425051185,0.5461817163226943,0.3747054591886734,6.491975426103847,0.6972497053131295,0.6935026507212427,0.7584224049822812,0.5461817163226943,0.0176892930641581,1,0.39216,0.0,0,100,0.01,True,-0.0007459213641035634,0.581259849645082,0.9767431728766485,False,False
70,0.017748125949871428,0.5536487212366159,0.610926804261612,0.6161442472457513,6,2026-06-20,2026,2026,MOV_MKT_STATS,shane collins,otari tanzilovi,Featherweight,favorite,shane collins,1.58824,0.6107189642967021,-0.0300317121454057,0.5289370451692732,-0.0858718169686856,15.978063650427266,0.6058412303227257,0.6066999484924126,0.7664805849966853,0.5289370451692732,-0.0035973809266354,1,0.5882400000000001,0.0,1,100,0.01,True,-0.0214150607544078,0.5536487212366159,0.42268557691994557,False,False
65,0.06331632970754408,0.6383095594098018,0.6814200278386328,0.6931156820236222,6,2026-06-20,2026,2026,MOV_MKT_STATS,vinicius oliveira,andre fili,Featherweight,favorite,vinicius oliveira,1.44444,0.6915285213583785,-0.0011285426091037,0.6271825423629913,1.2480966577797736,3.873919395190617,0.6800008310482474,0.6675198644704496,0.7062590584223558,0.6271825423629913,0.0567865877396321,1,0.4444399999999999,0.0,1,100,0.01,True,0.001164015742200819,0.6383095594098018,1.3900163368183116,False,False
48,0.6116294048184009,0.9610408332308138,0.701710932382124,0.7159990181267429,5,2026-06-27,2026,2026,MOV_MKT_STATS,rafael fiziev,manuel torres,Lightweight,favorite,rafael fiziev,1.20492,0.6856604514576876,-0.1738340088296031,0.926712643386351,11.408346450755111,-6.618471707709444,0.6747405172504364,0.5606570527428852,0.4944723356657908,0.926712643386351,0.4858758305724922,1,0.20492,0.0,1,100,0.01,True,-0.13727846307872493,0.9610408332308138,14.105387963923876,False,False
49,-0.055219569180483985,0.4732696319372596,0.7028844023369099,0.7173335523715314,5,2026-06-27,2026,2026,MOV_MKT_STATS,shara magomedov,michel pereira,Middleweight,favorite,shara magomedov,1.4,0.7180766592693999,0.0053073229771598,0.4746948566464129,-1.0748361291225803,10.42260824474981,0.7035373529944885,0.7142857142857143,0.8185117967332124,0.4746948566464129,-0.0520909915445992,1,0.3999999999999999,0.0132683074428996,1,100,0.01,True,0.004266973320143919,0.4732696319372596,-1.140131194880445,False,False
